ticket,item,id_producto,producto,fecha_venta,cantidad,id_tamaño,tamaño,precio_unitario,costo_unitario,tipo_calzado,id_local,local,tipo_local,id_ciudad,ciudad,total_venta,total_costo,año,mes
65886,1,C001,COMFORT VERONA,15/05/2021,1,23M,23 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,05-may
67358,1,C001,COMFORT VERONA,28/05/2021,1,25M,25 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,05-may
67475,1,C001,COMFORT VERONA,28/05/2021,1,21N,21 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,05-may
67641,1,C001,COMFORT VERONA,30/05/2021,1,25N,25 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,05-may
69323,1,C001,COMFORT VERONA,13/06/2021,1,26N,26 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,06-jun
69513,1,C001,COMFORT VERONA,14/06/2021,1,28N,28 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,06-jun
69543,1,C001,COMFORT VERONA,14/06/2021,1,21N,21 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,06-jun
69775,1,C001,COMFORT VERONA,17/06/2021,1,27M,27 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,06-jun
70637,1,C001,COMFORT VERONA,25/06/2021,1,22M,22 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,06-jun
70703,1,C001,COMFORT VERONA,26/06/2021,1,30N,30 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,06-jun
71565,1,C001,COMFORT VERONA,04/07/2021,1,21M,21 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,07-jul
72414,1,C001,COMFORT VERONA,10/07/2021,1,20M,20 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,07-jul
73309,1,C001,COMFORT VERONA,16/07/2021,1,18M,18 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,07-jul
73332,1,C001,COMFORT VERONA,16/07/2021,1,24M,24 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,07-jul
74744,1,C001,COMFORT VERONA,27/07/2021,1,23N,23 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,07-jul
75222,1,C001,COMFORT VERONA,30/07/2021,1,29M,29 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,07-jul
75672,1,C001,COMFORT VERONA,04/08/2021,1,26M,26 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,08-ago
76624,1,C001,COMFORT VERONA,11/08/2021,1,22M,22 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,08-ago
76754,1,C001,COMFORT VERONA,13/08/2021,1,21M,21 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,08-ago
77107,1,C001,COMFORT VERONA,15/08/2021,1,19M,19 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,08-ago
77949,1,C001,COMFORT VERONA,22/08/2021,1,20N,20 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,08-ago
78200,1,C001,COMFORT VERONA,24/08/2021,1,25N,25 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,08-ago
78502,1,C001,COMFORT VERONA,27/08/2021,1,28N,28 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,08-ago
78778,1,C001,COMFORT VERONA,29/08/2021,1,25N,25 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,08-ago
79726,1,C001,COMFORT VERONA,05/09/2021,1,22N,22 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,09-sep
79812,1,C001,COMFORT VERONA,06/09/2021,1,25M,25 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,09-sep
79970,1,C001,COMFORT VERONA,07/09/2021,1,23M,23 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,09-sep
80173,1,C001,COMFORT VERONA,09/09/2021,1,19M,19 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,09-sep
81273,1,C001,COMFORT VERONA,20/09/2021,1,29N,29 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,09-sep
82705,1,C001,COMFORT VERONA,02/10/2021,1,23N,23 NORMAL,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,10-oct
83987,1,C001,COMFORT VERONA,14/10/2021,1,21M,21 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,10-oct
85210,1,C001,COMFORT VERONA,29/10/2021,1,18M,18 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,10-oct
88014,1,C001,COMFORT VERONA,26/11/2021,1,21M,21 Y MEDIO,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,11-nov
88479,1,C001,COMFORT VERONA,29/11/2021,2,18N,18 NORMAL,1311,393,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,2622,786,2021,11-nov
88584,1,C001,COMFORT VERONA,30/11/2021,1,20N,20 NORMAL,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,11-nov
89331,1,C001,COMFORT VERONA,07/12/2021,1,23N,23 NORMAL,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,12-dic
89827,1,C001,COMFORT VERONA,12/12/2021,1,22M,22 Y MEDIO,1311,393,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,1311,393,2021,12-dic
98163,1,C001,COMFORT VERONA,20/12/2021,1,22M,22 Y MEDIO,1311,393,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,1311,393,2021,12-dic
91300,1,C001,COMFORT VERONA,26/12/2021,1,29M,29 Y MEDIO,1311,393,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,1311,393,2021,12-dic
10893,1,C001,COMFORT VERONA,09/01/2020,1,21N,21 NORMAL,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,01-ene
12038,1,C001,COMFORT VERONA,22/01/2020,1,19N,19 NORMAL,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,01-ene
12354,1,C001,COMFORT VERONA,26/01/2020,1,22N,22 NORMAL,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,01-ene
12401,1,C001,COMFORT VERONA,26/01/2020,2,30M,30 Y MEDIO,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,2592,786,2020,01-ene
14263,1,C001,COMFORT VERONA,13/02/2020,1,28N,28 NORMAL,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,02-feb
14822,1,C001,COMFORT VERONA,17/02/2020,1,30M,30 Y MEDIO,1296,393,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA,1296,393,2020,02-feb
15362,1,C001,COMFORT VERONA,23/02/2020,1,21M,21 Y MEDIO,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,02-feb
15705,1,C001,COMFORT VERONA,25/02/2020,1,26M,26 Y MEDIO,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,02-feb
15718,1,C001,COMFORT VERONA,25/02/2020,1,30N,30 NORMAL,1296,393,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA,1296,393,2020,02-feb
15898,1,C001,COMFORT VERONA,27/02/2020,1,27N,27 NORMAL,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,02-feb
16996,1,C001,COMFORT VERONA,06/03/2020,1,29M,29 Y MEDIO,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,03-mar
18994,1,C001,COMFORT VERONA,22/03/2020,1,23N,23 NORMAL,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,03-mar
19370,1,C001,COMFORT VERONA,25/03/2020,1,25N,25 NORMAL,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,03-mar
19412,1,C001,COMFORT VERONA,25/03/2020,1,22M,22 Y MEDIO,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,03-mar
19523,1,C001,COMFORT VERONA,27/03/2020,1,29N,29 NORMAL,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,03-mar
19614,1,C001,COMFORT VERONA,28/03/2020,1,28M,28 Y MEDIO,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,03-mar
19760,1,C001,COMFORT VERONA,30/03/2020,1,25M,25 Y MEDIO,1296,393,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA,1296,393,2020,03-mar
19846,1,C001,COMFORT VERONA,31/03/2020,1,30N,30 NORMAL,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,03-mar
19946,1,C001,COMFORT VERONA,01/04/2020,1,22N,22 NORMAL,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,04-abr
20154,1,C001,COMFORT VERONA,03/04/2020,1,18M,18 Y MEDIO,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,04-abr
21365,1,C001,COMFORT VERONA,15/04/2020,1,25N,25 NORMAL,1296,393,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA,1296,393,2020,04-abr
22893,1,C001,COMFORT VERONA,03/05/2020,1,25N,25 NORMAL,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,05-may
23050,1,C001,COMFORT VERONA,04/05/2020,1,30M,30 Y MEDIO,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,05-may
23658,1,C001,COMFORT VERONA,08/05/2020,1,25N,25 NORMAL,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,05-may
24914,1,C001,COMFORT VERONA,23/05/2020,1,29M,29 Y MEDIO,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,05-may
25937,1,C001,COMFORT VERONA,31/05/2020,1,18N,18 NORMAL,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,05-may
26696,1,C001,COMFORT VERONA,07/06/2020,1,23N,23 NORMAL,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,06-jun
26842,1,C001,COMFORT VERONA,09/06/2020,1,22M,22 Y MEDIO,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,06-jun
27455,1,C001,COMFORT VERONA,14/06/2020,1,23N,23 NORMAL,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,06-jun
27778,1,C001,COMFORT VERONA,16/06/2020,1,27M,27 Y MEDIO,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,06-jun
28060,1,C001,COMFORT VERONA,20/06/2020,1,18M,18 Y MEDIO,1296,393,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA,1296,393,2020,06-jun
30088,1,C001,COMFORT VERONA,11/07/2020,1,28N,28 NORMAL,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,07-jul
31711,1,C001,COMFORT VERONA,27/07/2020,1,25N,25 NORMAL,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,07-jul
32007,1,C001,COMFORT VERONA,31/07/2020,1,25N,25 NORMAL,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,07-jul
32029,1,C001,COMFORT VERONA,31/07/2020,1,28N,28 NORMAL,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,07-jul
32775,1,C001,COMFORT VERONA,08/08/2020,1,23M,23 Y MEDIO,1296,393,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,1296,393,2020,08-ago
34528,1,C001,COMFORT VERONA,19/08/2020,1,30M,30 Y MEDIO,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,08-ago
35399,1,C001,COMFORT VERONA,26/08/2020,1,29N,29 NORMAL,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,08-ago
35977,1,C001,COMFORT VERONA,30/08/2020,1,28N,28 NORMAL,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,08-ago
36741,1,C001,COMFORT VERONA,08/09/2020,1,24N,24 NORMAL,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,09-sep
37803,1,C001,COMFORT VERONA,16/09/2020,1,23N,23 NORMAL,1296,393,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA,1296,393,2020,09-sep
38065,1,C001,COMFORT VERONA,17/09/2020,1,28M,28 Y MEDIO,1296,393,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY,1296,393,2020,09-sep
39243,1,C001,COMFORT VERONA,26/09/2020,1,23M,23 Y MEDIO,1296,393,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,09-sep
40008,1,C001,COMFORT VERONA,05/10/2020,1,21N,21 NORMAL,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,10-oct
40527,1,C001,COMFORT VERONA,09/10/2020,1,19N,19 NORMAL,1296,393,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,1296,393,2020,10-oct
40667,1,C001,COMFORT VERONA,11/10/2020,1,21N,21 NORMAL,1296,393,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA,1296,393,2020,10-oct
